,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
140,200€,"1,5",32 m²,Централно,4 кат  ,Во Зграда,Нов,Празен,Да,2020,2020,1 Балкон,1,Не,1 Паркинг,Југозапад,ul.Metodija S.Sarlo
141,250€,"2,5",45 m²,Струја,1 кат  ,Во Зграда,Реновиран,Наместен,Не,NaN,NaN,1 Балкон,1,Не,Повеќе од 3 паркинг места,Југ,NaN
142,1МКД,2,50 m²,Струја,4 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Да,1 Паркинг,Југоисток,кисела вода
143,210€,3,60 m²,Струја,Приземје,Во Зграда,Нов,Полу наместен,Да,2022,NaN,Нема,2,Не,1 Паркинг,Исток,Voin Draskoci br.25
144,333€,"3,5",100 m²,Централно,4 кат  ,Во Зграда,Реновиран,Наместен,Не,1990,NaN,Тераса + 3 Балкони,2,Да,Нема,Југозапад,Kliment Ohridski 54
145,330€,3,67 m²,Струја,5 кат  ,Во Зграда,Реновиран,Наместен,Не,NaN,NaN,1 Тераса,2,Не,Нема,Исток,"Karpos, Skopje"
146,250€,2,60 m²,Друго,2 кат  ,Во Зграда,Реновиран,Наместен,Не,NaN,NaN,1 Балкон,1,Не,Повеќе од 3 паркинг места,Северозапад,ул. Вич 22/2
147,250€,4,68 m²,Струја,Приземје,Во Зграда,Реновиран,Полу наместен,Да,NaN,NaN,Тераса + 1 Балкон,1,Не,1 Паркинг,Југоисток,Ул.Бапчор број 10
148,1.500МКД,2,65 m²,Друго,6 кат  ,Во Зграда,Нов,Наместен,Да,2015,2023,1 Тераса,1,Не,2 Паркинг места,Североисток,Ул. Свети Николска
149,270€,2,42 m²,Централно,5 кат  ,Во Зграда,Нов,Наместен,Да,2022,NaN,1 Балкон,1,Не,1 Паркинг,Југоисток,ул. Коста Новаковиќ бр.17
150,300€,"2,5",40 m²,Струја,1 кат  ,Во Зграда,Реновиран,Наместен,Не,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Североисток,ТАФТАЛИЏЕ
151,1€,2,57 m²,Централно,3 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Исток,"Центар, Скопје"
152,400€,3,70 m²,Струја,3 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Исток,CENTAR DEBAR MAALO
153,180€,2,35 m²,Централно,4 кат  ,Во Зграда,Реновиран,Наместен,Не,2006,2019,1 Балкон,1,Не,1 Паркинг,Југоисток,Georgji Dimitrov 52
154,250€,2,55 m²,Централно,3 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Исток,"Кисела Вода, Скопје"
155,200€,2,40 m²,Струја,Приземје,Во Зграда,Нов,Наместен,Не,NaN,NaN,Нема,1,Не,1 Паркинг,Исток,"Центар, Скопје"
156,1€,2,60 m²,Струја,2 кат  ,Во куќа,Реновиран,Наместен,Не,NaN,NaN,1 Балкон,1,Не,Нема,Северозапад,NaN
157,200€,2,45 m²,Струја,1 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Да,1 Гаража,Исток,"Ѓорче Петров, Скопје"
158,250€,2,55 m²,Друго,3 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Североисток,"Карпош, Скопје"
159,NaN,"1,5",35 m²,Струја,4 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Да,1 Паркинг,Југ,NaN
160,1€,3,66 m²,Централно,2 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Паркинг,Исток,Debar Maalo
161,300€,2,44 m²,Централно,3 кат  ,Во Зграда,Реновиран,Наместен,Да,NaN,NaN,Нема,1,Не,1 Паркинг,Исток,NaN
162,500€,2,50 m²,Струја,3 кат  ,Во Зграда,Нов,Наместен,Да,NaN,NaN,1 Балкон,1,Не,1 Гаража,Исток,NaN
163,800€,4,115 m²,Струја,Приземје,Во Зграда,Нов,Празен,Да,NaN,NaN,1 Балкон,2,Не,1 Паркинг,Исток,NaN
